Italy,59759.929,59504.212
Malta,418.367,427.616
Montenegro,625.466,628.178
Portugal,10625.33,10418.473
San Marino,31.504,32.96
Serbia,8993.746,8851.28
Slovenia,2053.436,2074.788
Spain,46909.138,46397.664
TFYR Macedonia,2072.383,2079.308
Western Europe,189011.629,192032.306
Austria,8459.864,8678.657
Belgium,11013.083,11287.94
France,63343.577,64457.201
Germany,80933.98,81707.789
Liechtenstein,36.264,37.403
Luxembourg,519.941,566.741
Monaco,37.497,38.307
Netherlands,16737.002,16938.499
Switzerland,7930.421,8319.769
LATIN AMERICA AND THE CARIBBEAN,604661.714,632380.831
Caribbean,42047.196,43309.611
Anguilla,13.951,14.611
Antigua and Barbuda,95.719,99.923
Aruba,102.053,104.341
Bahamas,366.568,386.838
Barbados,280.601,284.217
British Virgin Islands,27.901,30.113
Caribbean Netherlands,21.994,24.57
Cayman Islands,56.579,59.963
Cuba,11354.651,11461.432
Curaçao,150.593,158.01
Dominica,71.718,73.162
Dominican Republic,10027.095,10528.394
Grenada,105.075,106.823
Guadeloupe,451.447,450.418
Haiti,10145.054,10711.061
Jamaica,2829.493,2871.934
Martinique,393.209,385.842
Montserrat,4.994,5.124
Puerto Rico,3706.984,3673.728
Saint Kitts and Nevis,52.006,54.288
Saint Lucia,173.832,177.206
Saint Vincent and the Grenadines,109.341,109.455
Sint Maarten (Dutch part),33.976,38.75
Trinidad and Tobago,1334.788,1360.092
Turks and Caicos Islands,31.731,34.339
United States Virgin Islands,105.843,104.977
Central America,163028.364,172635.109
Belize,329.192,359.288
Costa Rica,4600.474,4807.852
El Salvador,6192.56,6312.478
Guatemala,14948.919,16252.429
Honduras,8351.6,8960.829
Mexico,119090.017,125890.949
Nicaragua,5807.82,6082.035
Panama,3707.782,3969.249
South America,399586.154,416436.111
Argentina,41656.879,43417.765
Bolivia (Plurinational State of),10078.343,10724.705
Brazil,198686.688,205962.108
Chile,17153.357,17762.681
Colombia,46406.646,48228.697
Ecuador,15177.355,16144.368
Falkland Islands (Malvinas),2.856,2.898
French Guiana,240.654,268.691
Guyana,749.1,768.514
Paraguay,6293.783,6639.119
Peru,29759.989,31376.671
Suriname,531.589,553.208
Uruguay,3385.624,3431.552
Venezuela (Bolivarian Republic of),29463.291,31155.134
NORTHERN AMERICA,345716.402,356003.541
Bermuda,63.581,62.003
Canada,34538.622,35949.709
Greenland,56.552,56.377
Saint Pierre and Miquelon,6.274,6.29
United States of America,311051.373,319929.162
OCEANIA,37237.877,39542.98
Australia/New Zealand,26898.164,28414.088
Australia,22479.799,23799.556
New Zealand,4418.365,4614.532
Melanesia,9172.576,9933.15
Fiji,867.086,892.149
New Caledonia,254.657,269.091
Papua New Guinea,7269.348,7919.825
Solomon Islands,539.614,587.482
Vanuatu,241.871,264.603
Micronesia,504.937,518.995
Guam,159.678,161.797
Kiribati,104.656,112.407
Marshall Islands,52.542,52.994
Micronesia (Fed. States of),103.468,104.433
Nauru,10.208,11.26
Northern Mariana Islands,53.786,54.816
Palau,20.599,21.288
Polynesia,662.2,676.747
American Samoa,55.32,55.537
Cook Islands,18.257,17.449
French Polynesia,269.843,277.69
Niue,1.63,1.629
Samoa,187.665,193.759
Tokelau,1.151,1.252
Tonga,104.577,106.364
Tuvalu,10.628,11.001
Wallis and Futuna Islands,13.129,12.066
