Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Vietnam,-2.008485383,-0.488413974,-6.021018336,-2.75633583,-1.147351587,-6.856445726,-7.443987922,-6.289640728,-6.22231913,-6.254690222,-4.715490446,-4.695448559,-4.761298529,-4.700927667,-4.551463481,-4.520578022,-4.475128647
Yemen,-7.183132372,-4.531695393,-10.21097569,-4.058458583,-4.506747746,-6.31517652,-6.897118695,-4.136084107,-11.52906829,-17.534095,-8.51642943,-14.37422453,-8.862238124,-3.028598953,-1.908355976,-1.748227588,-0.886923798
Zambia,-1.036850222,-0.667891772,-2.057125339,-2.432209004,-1.783438537,-2.831718812,-6.151340335,-5.704814448,-9.338042777,-5.800811858,-7.266512066,-7.81849463,-7.358537736,-7.32885801,-6.532321977,-6.510132535,-6.025258715
Zimbabwe,-3.052623478,-2.084346079,-2.020174985,0.666751842,-0.544657441,0.026328887,-1.660872705,-1.376732045,-0.985415186,-8.441946965,-9.552660866,-3.123171118,-1.854799375,-1.796236256,-1.759417193,-1.542134294,-1.519625011
Advanced economies,-1.2447261,-3.559644479,-8.730660994,-7.680767598,-6.280648723,-5.45297327,-3.663942591,-3.133098704,-2.624337515,-2.643434091,-2.581037434,-2.659364187,-2.789663921,-2.445506721,-2.345608975,-2.250382005,-2.023157233
Emerging Market and Middle-Income Economies,0.872114471,0.799635247,-3.691144393,-2.160294669,-0.969030693,-0.990379521,-1.470653914,-2.405191906,-4.425801384,-4.784659981,-4.404658672,-4.158363065,-4.079191374,-3.969922062,-3.931701508,-3.879742291,-3.829435177
Emerging and Middle-Income Asia,-1.105553196,-1.674069923,-3.311474974,-2.165821916,-1.620082158,-1.608494477,-1.813092618,-1.891401435,-3.237690076,-3.873194945,-4.156732045,-4.237828682,-4.32695759,-4.315621631,-4.336784794,-4.343656025,-4.303223054
Emerging and Middle-Income Europe,1.326303771,0.540412474,-5.767836087,-3.699256871,-0.236275909,-0.714748748,-1.478546603,-1.415533306,-2.67740363,-2.953224295,-1.985164031,-1.405510687,-1.416453819,-1.176149976,-1.054526106,-0.999060123,-0.998463219
Emerging and Middle-Income Latin America,-1.124815241,-0.873534692,-3.849076129,-3.068973022,-2.790601825,-3.083424283,-3.25230927,-4.818841241,-7.227677048,-6.628295326,-6.186357465,-5.846577023,-5.574803639,-5.098360723,-4.882953161,-4.616510198,-4.441915691
Emerging and Middle-Income Middle East and North Africa and Pakistan,,,,,,,,,,,,,,,,,
Euro Area,-0.645176913,-2.158977114,-6.262043389,-6.176982898,-4.234239872,-3.639950162,-3.040890472,-2.56005613,-2.08067084,-1.541757897,-0.929407873,-0.648972124,-0.540841041,-0.188974534,-0.070785126,0.022015012,0.090183206
G-20,-1.478109571,-3.005971487,-7.947636589,-6.510451629,-5.047256406,-4.371081908,-3.252940091,-3.114753419,-3.434520535,-3.674094101,-3.593361993,-3.640926632,-3.760263471,-3.492474508,-3.428921234,-3.359371355,-3.181419598
Low-Income Developing Asia,-1.117550437,-1.03131411,-3.975855882,-2.261093371,-1.568928347,-2.979814024,-4.01629291,-3.704669966,-4.484936009,-4.268346948,-3.830993173,-4.329119516,-4.558750912,-4.370968307,-4.305699961,-4.290202254,-4.21017246
Low-Income Developing Countries,-1.274619236,1.223920216,-3.948407058,-2.788709211,-0.948213904,-1.698581127,-3.308538096,-3.170703259,-3.997994347,-4.207562573,-4.347365699,-4.183604817,-4.048566419,-3.730627146,-3.623547683,-3.536917851,-3.40884688
Low-Income Developing Latin America,-0.279714849,-0.861241006,-3.528021647,-2.257789486,-1.985105144,-2.791865496,-4.580644694,-3.158333364,-1.307057273,-0.706247816,-0.736775147,-1.501021597,-1.389143714,-1.356953133,-1.354239687,-1.355453376,-1.171239771
Low-Income Developing Oil Producers,-0.274031918,5.30701271,-4.467428215,-2.818583886,0.651085602,0.171847577,-2.501567015,-2.627069274,-4.233215029,-5.034760841,-5.536750549,-4.577476078,-4.284352846,-3.782934756,-3.911692541,-3.774756202,-3.805533711
Low-Income Developing Others,-2.155770997,0.685570293,-3.516244156,-0.271816168,0.792010495,-0.358009365,-1.83633269,-0.425457038,-2.768569328,-3.287639072,-2.431812412,-3.34599623,-2.393187086,-1.185625536,-0.887762277,-0.869772442,-0.642571183
Low-Income Developing Sub-Saharan Africa,-1.195585456,2.350573698,-4.047822539,-3.607667329,-0.98521565,-1.321120951,-3.199966193,-3.414406585,-4.086769723,-4.498802748,-5.155340471,-4.309780051,-4.030694717,-3.711933488,-3.582257331,-3.430587304,-3.276972933
Major advanced economies (G7),-2.224078158,-4.573604269,-9.90956086,-8.808138472,-7.405307276,-6.395824595,-4.280039326,-3.621413821,-3.01770602,-3.258716816,-3.356613053,-3.452632358,-3.657649756,-3.260176474,-3.158992928,-3.047148712,-2.741586963
